MX-ROO,Quintana Roo,SI,30-Aug-21,Híbrido,Plan para Regreso a Clases Seguro,SI,NO,SI,75.6,https://qroo.gob.mx/seq/detallan-acciones-de-la-seq-para-el-regreso-clases-destacando-cuatro-importantes-temas
MX-SLP,San Luis Potosí,Por Definir,Sin información,A distancia,N.D,Sin información,SI,SI,90,https://slp.gob.mx/sege/Paginas/NOTICIAS/FECHAS-Y-MODALIDAD-DE-REGRESO-A-CLASES--SE-DAR%C3%81N-A-CONOCER-LA-PR%C3%93XIMA-SEMANA.aspx
MX-SIN,Sinaloa,Por Definir,Sin información,A distancia,N.D,SI,SI,SI,90,https://mieducacion.sepyc.gob.mx/sinaloa-coincide-con-el-presidente-andres-manuel-lopez-obrador-el-regreso-a-clases-es-por-el-convencimiento-nada-por-la-fuerza/ https://www.debate.com.mx/opinion/Posible-retorno-a-las-aulas-20210730-0348.html
MX-SON,Sonora,Por Definir,Sin información,A distancia,N.D,SI,SI,SI,87,http://www.sec.gob.mx/portal/index.php?op=nota&p=1033 https://kidstudia.com/guia/todo-sobre-el-regreso-a-clases-en-mexico/sonora/#medidas+para+el+regreso+a+clases+en+sonora
MX-TAB,Tabasco,SI,01-Sep-21,Híbrido,Sin información,SI,SI,SI,SP,https://heraldodemexico.com.mx/nacional/2021/7/22/tabasco-no-volvera-clases-presenciales-en-agosto-analizan-sea-en-septiembre-318653.html https://www.elheraldodetabasco.com.mx/local/tabasco-si-regresa-a-clases-presenciales-en-septiembre-7015316.html
MX-TAM,Tamaulipas,SI,30 de agosto,Híbrido,Jornada Presencial de Regularización,SI,SI,SI,SP,https://www.tamaulipas.gob.mx/educacion/avisos/planteles-seleccionados-fase-2/ https://www.milenio.com/politica/comunidad/regreso-a-clases-presenciales-en-tamaulipas-sera-voluntario https://www.tamaulipas.gob.mx/educacion/avisos/planteles-seleccionados-fase-2/ https://www.tamaulipas.gob.mx/educacion/regresoaclasespresenciales-fasepiloto-boletines/ https://kidstudia.com/guia/todo-sobre-el-regreso-a-clases-en-mexico/tamaulipas/ https://www.milenio.com/politica/regreso-clases-vacaciones-ciclo-2021-2022-tamaulipas https://www.elsoldetampico.com.mx/local/regional/regreso-a-clases-presenciales-en-tamaulipas-sera-voluntario-cabeza-de-vaca-7026334.html https://www.hoytamaulipas.net/notas/464556/Regresaran-a-clases-presenciales-en-Tamaulipas-el-30-de-agosto.html
MX-TLA,Tlaxcala,SI,30 de agosto ,Híbrido,Sin información,SI,SI,SI,SP,https://www.milenio.com/politica/comunidad/duda-regreso-clases-presenciales-tlaxcala-tercer-ola-covid https://www.milenio.com/politica/comunidad/duda-regreso-clases-presenciales-tlaxcala-tercer-ola-covid https://www.lajornadadeoriente.com.mx/tlaxcala/clases-presenciales-sepe-a-sep/ https://www.elsoldetlaxcala.com.mx/local/alistan-preparatorias-regreso-a-las-aulas-juan-pablo-arroyo-6924698.html https://kidstudia.com/guia/todo-sobre-el-regreso-a-clases-en-mexico/tlaxcala/#modalidad+del+regreso+a+clases+en+tlaxcala https://www.milenio.com/politica/comunidad/de-manera-responsable-buscan-que-sea-el-regreso-a-clases-en-tlaxcala
MX-VER,Veracruz de Ignacio de la Llave,SI,30 de agosto,Híbrido,Regreso a clases presenciales,SI,SI,SI,SP,https://www.sev.gob.mx/v1/noticias/leer/2354/ https://www.sev.gob.mx/v1/noticias/leer/2354/ https://www.diariodexalapa.com.mx/local/si-habra-clases-presenciales-pero-no-obligatorio-dijo-el-titular-de-la-sev-zenyazen-escobar-garcia-7029291.html
MX-YUC,Yucatán,SI,30 de agosto,Híbrido,Regreso seguro a clases,SI,SI,SI,SP,http://www.educacion.yucatan.gob.mx/boletines/index http://www.educacion.yucatan.gob.mx/boletines/index https://www.yucatan.com.mx/merida/yucatan-tendra-un-regreso-a-clases-presencial-en-agosto https://www.lajornadamaya.mx/yucatan/176643/los-ninos-deben-regresar-a-clases-presenciales-lo-mas-pronto-posible-vila-dosal
MX-ZAC,Zacatecas,Por Definir,30 de agosto,Híbrido,Regreso a Clases Presenciales,SI,SI,SI,90.6,http://www.seduzac.gob.mx/portal/index.php http://www.seduzac.gob.mx/portal/index.php https://www.zacatecas.gob.mx/mas-de-81-de-madres-y-padres-de-familia-estan-de-acuerdo-en-que-alumnos-de-educacion-basica-regresen-a-las-aulas/ https://imagenzac.com.mx/capital/estudiantes-regresaran-a-las-aulas-el-30-de-agosto/ http://ntrzacatecas.com/2021/07/12/prepara-uaz-encuesta-de-movilidad-y-convivencia/
